id	paper	permanent_id	sample_type	latitude	longitude	continent	year_of_sampling_from	year_of_sampling_to	Biome	primers	MAT	MAP	pH	SOC	ITS_total	manipulated	abundances
25996	99	GF05022000S	air	49.24	-121.76	North America	2011	2011	cropland	ITS5/ITS4	11.4	1578	5.7	9.8	53643	0	3
26026	181	GF05014565S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	28158	0	10
26053	99	GF05021982S	air	45.08	-73.38	North America	2011	2011	cropland	ITS5/ITS4	7.7	907	6.1	16.9	121633	0	4
26055	419	GF04004927S	rhizosphere soil	42.6624	116.038	Asia	2017	2017	woodland	ITS5/ITS2	2.9	363	8.1	3.6	72786	0	1
26114	99	GF05022017S	air	45.08	-73.38	North America	2011	2011	cropland	ITS5/ITS4	7.7	907	6.1	16.9	39564	0	1
26132	250	GF05009361S	soil	45.4167	127.567	Asia	2015	2015	anthropogenic	ITS3/ITS4	3.8	551	5.7	16.4	64523	0	1
26146	319	GF05001425S	soil	41.49	119.34	Asia	2020	2020	forest	ITS1F/ITS2	7.5	466	8	1.4	70632	0	40
26157	362	GF04018708S	root	33.7428	-117.705	North America	2015	2015	shrubland	5.8S_Fun/ITS4_Fun	17.7	367	6.7	3.3	20816	1	160
26175	69	GF05024234S	soil	29.82	92.36	Asia	2019	2019	grassland	ITS1F/ITS2	0	640	6.3	14.2	79706	0	2
26211	499	GF03009183S	soil	43.3167	124.233	Asia	2017	2017	cropland	ITS86F/ITS4	7	569	7.7	3.9	60626	0	3
26253	423	GF04004711S	soil	28.5231	117.051	Asia	2017	2017	cropland	ITS1F/ITS2	18.8	1614	5.7	10.1	63278	0	3
26350	54	GF05024883S	rhizosphere soil	22.1407	100.684	Asia	2015	2015	cropland	ITS3/ITS4	22.6	967	5.7	3	56129	0	1
26359	316	GF05001495S	soil	33.2167	116.583	Asia	2015	2015	cropland	ITS5/ITS2	15.5	871	8	5.9	36991	0	1
26360	121	GF05019632S	soil	32.2333	116.617	Asia	2016	2016	cropland	ITS5/ITS2	16	978	7.3	6.4	36991	0	1
26376	439	GF04003336S	soil	29.93	121.77	Asia	2017	2017	cropland	ITS5/ITS2	17.4	1432	6.2	15.4	73764	0	2
26377	439	GF04003287S	soil	36.45	114.43	Asia	2017	2017	cropland	ITS5/ITS2	14.8	543	8.3	2.2	59170	0	24
